title,series_name,date_aired,engagement,caught_by,imdb_rating,format,catchphrase,shaggy_scooby,fred_daphne_velma,other,combo,tv
"No Thanks, Masked Manx",The New Scooby and Scrappy Doo Show,9/17/83,2.995732274,Shaggy/Scooby,7.7,TV,2,1,0,0,0,1
"Scooby-Doo and Cyclops, Too",The New Scooby and Scrappy Doo Show,9/24/83,2.890371758,Other,7.2,TV,2,0,0,1,0,1
Scooby's Gold Medal Gambit,The New Scooby and Scrappy Doo Show,10/1/83,2.708050201,Shaggy/Scooby,7.5,TV,4,1,0,0,0,1
Scoobsie,The New Scooby and Scrappy Doo Show,10/8/83,2.708050201,Shaggy/Scooby,7.3,TV,2,1,0,0,0,1
The Crazy Carnival Caper,The New Scooby and Scrappy Doo Show,10/15/83,2.833213344,Shaggy/Scooby,7.1,TV,2,1,0,0,0,1
Scooby and the Minotaur,The New Scooby and Scrappy Doo Show,10/29/83,2.890371758,Shaggy/Scooby,7.4,TV,3,1,0,0,0,1
Scooby Pinch Hits,The New Scooby and Scrappy Doo Show,10/29/83,2.890371758,Shaggy/Scooby,7.4,TV,4,1,0,0,0,1
The Fall Dog,The New Scooby and Scrappy Doo Show,11/5/83,2.995732274,Shaggy/Scooby,7.2,TV,3,1,0,0,0,1
The Scooby Coupe,The New Scooby and Scrappy Doo Show,11/5/83,2.995732274,Shaggy/Scooby,7.2,TV,3,1,0,0,0,1
Scooby ala Mode,The New Scooby and Scrappy Doo Show,11/26/83,3.044522438,Shaggy/Scooby,6.5,TV,3,1,0,0,0,1
Where's Scooby-Doo?,The New Scooby and Scrappy Doo Show,12/3/83,2.944438979,Shaggy/Scooby,6.5,TV,9,1,0,0,0,1
Wedding Bell Boos!,The New Scooby and Scrappy Doo Show,12/10/83,3.135494216,Shaggy/Scooby,6.5,TV,4,1,0,0,0,1
"Happy Birthday, Scooby-Doo",The New Scooby-Doo Mysteries,9/8/84,3.80666249,Shaggy/Scooby,7.2,TV,2,1,0,0,0,1
The Hand of Horror,The New Scooby-Doo Mysteries,9/15/84,3.36729583,Other,7.2,TV,2,0,0,1,0,1
Scoo-Be or Not Scoo-Be?,The New Scooby-Doo Mysteries,9/22/84,3.36729583,Other,7.5,TV,3,0,0,1,0,1
