title,subtitle,series,author,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,month_read_num,year_read,bookshelf
Last Night at Chateau Marmont,,,"Weisberger, Lauren",2,3.49,Atria Books,Hardcover,384,2010,December,12,2010,read
Laura & Emma,,,"Greathead, Kate",3,3.2,Simon & Schuster,Hardcover,337,2018,December,12,2018,read
Lawrence and Oppenheimer,,,"Davis, Nuel Pharr",4,3.86,Simon & Schuster,Hardcover,384,1968,November,11,2018,read
Leaving the Atocha Station,,,"Lerner, Ben",4,3.79,Coffee House Press,Paperback,181,2011,May,5,2020,read
Left Bank,,,"Muir, Kate",3,2.82,Viking,Hardcover,352,2006,January,1,2016,read
Less,,,"Greer, Andrew Sean",3,3.68,Lee Boudreaux Books,Hardcover,273,2017,November,11,2019,read
Less Than Words Can Say,,,"Mitchell, Richard",,4.41,Joiner/Oriel Inc,Paperback,224,1979,May,5,2015,quit-reading
Let it Blurt,"The Life and Times of Lester Bangs, America's Greatest Rock Critic",,"DeRogatis, Jim",4,3.9,Broadway Books,Paperback,352,2000,July,7,2019,read
Letters from Mississippi,Reports from Civil Rights Volunteers and Freedom School Poetry of the 1964 Freedom Summer,,"Martinez, Elizabeth",4,4.43,Zephyr Press,Paperback,400,2007,November,11,2018,read
Letters to a Teacher,,,"Pickering, Samuel F., Jr.",,3.74,Grove Press,Paperback,256,2004,May,5,2019,read
Letters to a Young Contrarian,,,"Hitchens, Christopher",4,4.12,Basic Books,Hardcover,141,2001,January,1,2015,read
Lexicon,,,"Barry, Max",4,3.9,Penguin,Hardcover,390,2013,May,5,2018,read
Lexicon of Musical Invective,Critical Assaults on Composers Since Beethoven's Time,,"Slonimsky, Nicolas",5,4.36,W. W. Norton & Company,Paperback,336,1953,August,8,2017,read
Life of Pi,,,"Martel, Yann",5,3.9,Harcourt,Hardcover,319,2001,July,7,2016,read
Like Life,,,"Moore, Lorrie",4,4.1,Vintage,Paperback,192,1990,December,12,2018,read
Lincoln in the Bardo,,,"Saunders, George",3,3.77,Random House,Hardcover,343,2017,October,10,2018,read
Lion's Honey,The Myth of Samson,,"Grossman, David",3,3.34,Canongate Books,Hardcover,176,2005,August,8,2018,read
Lit,,,"Karr, Mary",4,3.9,Harper,Paperback,386,2009,January,1,2019,read
Locked On,,"Jack Ryan Universe, #14","Clancy, Tom",4,3.97,Michael Joseph,Hardcover,712,2011,May,5,2013,read
Losing Earth,A Recent History,,"Rich, Nathaniel",4,4.18,Picador USA,Paperback,224,2020,March,3,2020,read
Love Always,,,"Beattie, Ann",3,3.37,Vintage,Paperback,247,1985,March,3,2016,read
Love in Lowercase,,,"Miralles, Francesc",3,3.53,Penguin,Paperback,224,2006,December,12,2018,read
Loving Frank,,,"Horan, Nancy",3,3.75,Ballantine Books,Hardcover,384,2007,December,12,2018,read
Loving Graham Greene,A Novel,,"Emerson, Gloria",1,3.03,Anchor,Paperback,192,2000,May,5,2017,read
Lucky Jim,,,"Amis, Kingsley",4,3.79,Penguin,Paperback,251,1953,May,5,2015,read
Marine Sniper,93 Confirmed Kills: The Explosive True Story of a Vietnam Hero, ,"Henderson, Charles",4,4.29,Berkley,Paperback,320,1988,November,11,2019,read
Max Perkins,Editor of Genius,,"Berg, A. Scott",5,4.32,Riverhead,Paperback,512,1978,October,10,2016,read
Meetings with Remarkable Manuscripts,,,"de Hamel, Christopher",4,4.45,Allen Lane,Hardcover,640,2016,January,1,2018,read
Memoirs of a Muse,,,"Vapnyar, Lara",3,3.16,Pantheon,Hardcover,224,2006,March,3,2019,read
Micro,,,"Crichton, Michael",3,3.32,Harper,Hardcover,429,2011,December,12,2012,read
Midnight at the Bright Ideas Bookstore,,,"Sullivan, Matthew J.",4,3.79,Scribner,Hardcover,328,2017,August,8,2018,read
Midnight in Chernobyl,The Untold Story of the World's Greatest Nuclear Disaster,,"Higginbotham, Adam",5,4.39,Simon & Schuster,Hardcover,538,2019,June,6,2019,read
Midnight Sun,,"Blood on Snow, #2","Nesbo, Jo",4,3.58,Vintage,Hardcover,224,2015,May,5,2018,read
Miss Peregrine's Home for Peculiar Children,,"Miss Peregrine, #1","Riggs, Ransom",4,3.91,Quirk Books,Paperback,352,2012,October,10,2019,read
Miss Wyoming,,,"Coupland, Douglas",4,3.48,Vintage,Paperback,320,1999,May,5,2019,read
Mockingjay,,"The Hunger Games, #3","Collins, Suzanne",3,4.03,Scholastic Press,Hardcover,400,2010,October,10,2013,read
Model Behavior,A Novel and Stories,,"McInerney, Jay",3,3.18,Knopf,Hardcover,275,1998,April,4,2014,read
Moo,,,"Smiley, Jane",4,3.46,Knopf,Hardcover,419,1995,October,10,2017,read
"More Baths, Less Talking",,,"Hornby, Nick",4,3.93,"McSweeney's, Believer Books",Paperback,135,2012,January,1,2015,read
More Twisted,Collected Stories Vol. II,,"Deaver, Jeffery",3,3.84,Simon & Schuster,Hardcover,433,2006,March,3,2019,read
Mosquitoland,,,"Arnold, David",4,3.9,Viking,Paperback,336,2015,July,7,2018,read
Motley Crue,"A Visual History, 1983-2005",,"Zlozower, Neil",4,4.38,Chronicle Books,Hardcover,232,2009,May,5,2012,read
Mr. Penumbra's 24-Hour Bookstore,,"Mr. Penumbra's 24-Hour Bookstore, #1","Sloan, Robin",4,3.75,"Farrar, Straus and Giroux",Hardcover,288,2012,April,4,2016,read
Murder in Minnesota,,,"Trenerry, Walter N.",3,3.63,Minnesota Historical Society Press,Paperback,264,1962,January,1,2018,read
Murder Rap,,,"Kading, Greg",4,4.03,One Time Publishing,Paperback,263,2011,September,9,2016,read
My American Unhappiness,,,"Bakopoulos, Dean",5,3.3,Houghton Mifflin Harcourt,Hardcover,288,2011,May,5,2019,read
My Appetite for Destruction,"Sex, and Drugs, and Guns N' Roses",,"Adler, Steven",3,3.53,It Books,Hardcover,286,2010,February,2,2012,read
My Custom Van,And 50 Other Mind-Blowing Essays that Will Blow Your Mind All Over Your Face,,"Black, Michael Ian",5,3.66,Gallery Books,Hardcover,240,2008,January,1,2014,read
My Dog Tulip,,,"Ackerley, J.R.",3,3.36,NYRB Classics,Paperback,190,2010,November,11,2019,read
My Life as a Furry Red Monster,"What Being Elmo Has Taught Me About Life, Love and Laughing Out Loud",,"Clash, Kevin",3,3.62,Crown,Hardcover,224,2006,January,1,2012,read
My Name Is Lucy Barton,,,"Strout, Elizabeth",3,3.51,Random House,Hardcover,193,2016,November,11,2018,read
My Organic Life,How a Pioneering Chef Helped Shape the Way We Eat Today,,"Pouillon, Nora",3,3.66,Vintage,Paperback,304,2016,January,1,2020,read
My Turn at Bat,The Story of My Life,,"Williams, Ted",3,4.07,Touchstone,Paperback,320,1969,March,3,2019,read
Nabokov's Favorite Word Is Mauve,"What the Numbers Reveal About the Classics, Bestsellers, and Our Own Writing",,"Blatt, Ben",4,3.84,Simon & Schuster,Hardcover,271,2017,July,7,2017,read
Narratives of the Wreck of the Whale-Ship Essex,,,"Chase, Owen",3,3.9,Dover,Paperback,96,1821,January,1,2019,read
Natural Selection,A Year in the Garden,,"Pearson, Dan",3,4.07,Guardian Faber Publishing,Hardcover,448,2017,March,3,2019,read
Neruda Memoirs,,,"Neruda, Pablo",,4.2,Penguin,Paperback,370,1974,July,7,2015,quit-reading
Never Mind Nirvana,A Novel,,"Lindquist, Mark",4,3.62,Villard,Hardcover,256,2000,April,4,2013,read
Next Man Up,A Year Behind the Lines in Today's NFL,,"Feinstein, John",4,3.93,"Little, Brown and Company",Hardcover,502,2005,December,12,2016,read
Night Film,,,"Pessl, Marisha",4,3.76,Random House,Hardcover,602,2013,December,12,2013,read
Nine Inches,,,"Perrotta, Tom",5,3.74,St. Martin's,Hardcover,246,2013,April,4,2016,read
No Certain Rest,A Novel,,"Lehrer, Jim",4,3.14,Random House,Hardcover,240,2002,November,11,2016,read
No Country for Old Men,,,"McCarthy, Cormac",5,4.11,Knopf,Hardcover,309,2005,January,1,2013,read
Nobody's Fool,,,"Russo, Richard",5,4.12,Vintage,Hardcover,549,1993,December,12,2014,read
Norse Mythology,,,"Gaiman, Neil",4,4.1,W. W. Norton & Company,Paperback,304,2017,November,11,2017,read
Not That Kind of Girl,"A Young Woman Tells You What She's ""Learned""",,"Dunham, Lena",3,3.29,Random House,Hardcover,265,2014,October,10,2019,read
Notorious,,"It Girl, #2","Ziegesar, Cecily von",4,3.74,Poppy,Paperback,288,2006,January,1,2015,read
"October, 1964",,,"Halberstam, David",3,4.12,Niagara,Hardcover,576,1994,October,10,2011,read
Old School,,,"Wolff, Tobias",5,3.82,Bloomsbury,Paperback,195,2003,August,8,2016,read
Olive Kitteridge,,,"Strout, Elizabeth",4,3.83,Random House Trade,Paperback,286,2008,July,7,2019,read
On Book Design,,,"Hendel, Richard",5,4.1,Yale University Press,Hardcover,224,1998,June,6,2016,read
On Chesil Beach,,,"McEwan, Ian",4,3.57,Jonathan Cape,Hardcover,166,2007,September,9,2017,read
On Equality of Educational Opportunity,,,"Mosteller, Frederick",4,4,Random House,Hardcover,570,1972,January,1,2014,read
"On Justice, Power and Human Nature",Selections from The History of the Peloponnesian War,,"Thucydides, Thucydides",0,3.72,"Hackett Publishing Company, Inc.",Paperback,172,1993,April,4,2020,quit-reading
"On Writing, Editing, and Publishing",,,"Barzun, Jacques",4,3.93,The University of Chicago Press,Paperback,130,1971,January,1,2016,read
Once Upon a Fastball,,,"Mitchell, Bob",3,2.97,Kensington,Hardcover,288,2008,January,1,2011,read
Once Upon a Time in Computerland,"The Amazing, Billion-Dollar Tale of Bill Millard",,"Littman, Jonathan",3,4,Simon & Schuster,Paperback,413,1987,January,1,2015,read
Once Upon an Algorithm,How Stories Explain Computing,,"Erwig, Martin",4,3.79,MIT Press,Hardcover,333,2017,January,1,2018,read
One Fifth Avenue,,,"Bushnell, Candace",4,3.3,Hachette Books,Hardcover,433,2008,January,1,2016,read
One Mississippi,,,"Childress, Mark",5,3.67,"Little, Brown and Company",Hardcover,400,2006,June,6,2014,read
One Shot,,"Jack Reacher, #9","Child, Lee",4,4.2,Dell,Paperback,496,2012,December,12,2019,read
Origin,,"Robert Langdon, #5","Brown, Dan",3,3.86,,Paperback,638,2018,December,12,2019,read
Out of the Vinyl Deeps,On Rock Music,,"Willis, Ellen",3,3.95,University of Minnesota Press,Paperback,234,2011,November,11,2018,read
Pandora's Clock,,,"Nance, John J.",3,3.95,St. Martin's,Paperback,438,1995,May,5,2016,read
Patience & Fortitude,"A Roving Chronicle of Book People, Book Places, and Book Culture",,"Basbanes, Nicholas A.",5,4.07,Harper,Hardcover,656,2001,December,12,2019,read
Personal,,"Jack Reacher, #19","Child, Lee",3,3.95,Dell,Paperback,505,2015,December,12,2019,read
Picking Federal Judges,Lower Court Selection from Roosevelt through Reagan,,"Goldman, Sheldon",,3,Yale University Press,Paperback,448,1997,July,7,2015,quit-reading
Pirate Latitudes,,,"Crichton, Michael",4,3.36,Harper,Hardcover,312,2009,January,1,2012,read
Playing for Pizza,,,"Grisham, John",4,3.38,Doubleday,Hardcover,262,2007,May,5,2013,read
Pocket Kings,,,"Heller, Ted",5,3.34,Algonquin Books,Paperback,355,2012,April,4,2020,read
Polar,,,"Pearson, T.R.",4,3.79,Viking,Hardcover,244,2002,April,4,2014,read
Portraits in Silicon,,,"Slater, Robert",5,3.83,MIT Press,Paperback,389,1987,October,10,2017,read
Practical Demonkeeping,,"Pine Cove, #1","Moore, Christopher",4,3.83,Perennial / William Morrow / HarperCollins,Paperback,256,2004,June,6,2019,read
Praying for Sleep,,,"Deaver, Jeffery",4,3.79,Viking,Hardcover,437,1994,October,10,2011,read
Publishing,A Writer's Memoir,,"Godwin, Gail",4,3.39,Bloomsbury,Hardcover,224,2015,February,2,2018,read
Purity,,,"Franzen, Jonathan",4,3.61,4th Estate,Paperback,563,2016,September,9,2019,read
Purple Dots,A Novel,,"Lehrer, Jim",4,3.24,Random House,Hardcover,262,1998,September,9,2012,read
"Quiet, Please",Dispatches From A Public Librarian,,"Douglas, Scott",3,3.2,Da Capo Press,Hardcover,330,2008,August,8,2018,read
Rabbit Cake,,,"Hartnett, Annie",5,3.97,Tin House Books,Paperback,332,2017,January,1,2019,read
Raising Hell,"The Reign, Ruin, and Redemption of Run-D.M.C. and Jam Master Jay",,"Ro, Ronin",3,3.52,Amistad,Hardcover,352,2005,April,4,2017,read
Ransom,,,"McInerney, Jay",4,3.27,Vintage,Hardcover,279,1985,February,2,2014,read
Ray Christensen's Gopher Tales,Stories from All Eleven University of Minnesota's Men's Sports,,"Christensen, Ray",4,4.5,Sports Publishing LLC,Hardcover,204,2002,June,6,2012,read
Reading Lolita in Tehran,A Memoir in Books,,"Nafisi, Azar",2,3.61,Random House Trade Paperbacks,Paperback,356,2003,September,9,2019,read
Ready Player One,,,"Cline, Ernest",5,4.31,Random House,Hardcover,374,2011,April,4,2015,read
Reamde,,,"Stephenson, Neal",4,3.94,William Morrow & Company,Hardcover,1044,2011,July,7,2014,read
Reckless,,"It Girl, #3","Ziegesar, Cecily von",4,3.76,Poppy,Paperback,288,2006,May,5,2015,read
Red Rabbit,,"Jack Ryan Universe, #03","Clancy, Tom",3,3.67,Putnam,Hardcover,640,2002,September,9,2017,read
Rembrandt's Whore,,,"Matton, Sylvie",2,3.38,Canongate Books,Hardcover,208,2001,July,7,2011,read
Repo Madness,,"Ruddy McCann, #2","Cameron, W. Bruce",4,4.12,Forge Books,Hardcover,368,2016,July,7,2019,read
Restitution,,,"Vance, Lee",4,3.51,Knopf,Hardcover,336,2007,April,4,2015,read
